Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
HORIZON HEALTHCARE	  ROSUVASTATIN	   STAARS             		189934890	4.3	26.06	187605	2.6	5.3	150664686	3.68	13.65	178164	2.02	-0.21	  ROSUVASTATIN
BOSCH	  ROSUVASTATIN	   ROVA               		133481807	3.02	-11.78	461395	6.4	1.7	151311172	3.7	37.41	453688	5.15	0.79	  ROSUVASTATIN
BARRETT HODGSON	  ROSUVASTATIN	   ROSUBAR            		118159127	2.67	5.25	343970	4.77	-5.53	112265703	2.74	35.29	364105	4.13	9.89	  ROSUVASTATIN
MARTIN DOW LIMITED	  ROSUVASTATIN	   ROSWIN             		86082095	1.95	68.88	293217	4.07	49.98	50972341	1.25	25.24	195509	2.22	9.44	  ROSUVASTATIN
ASIAN CONTINENTAL	  ROSUVASTATIN	   ROSUVAX            		38772543	0.88	4.08	181380	2.52	-3.07	37251777	0.91	-0.36	187117	2.12	-1.93	  ROSUVASTATIN
WILSONS	  ROSUVASTATIN	   ROSUVA             		30673270	0.69	-35.23	84860	1.18	-54.04	47357257	1.16	16.35	184643	2.1	12.65	  ROSUVASTATIN
GENIX PHARMA	  ROSUVASTATIN	   ROSCA              		21628423	0.49	27.01	83317	1.16	11.92	17029109	0.42	9.74	74443	0.85	-4.02	  ROSUVASTATIN
WERRICK PHARMA	  ROSUVASTATIN	   PASAGE             		14162263	0.32	-5.13	107798	1.5	-5.04	14928324	0.36	53.87	113525	1.29	54	  ROSUVASTATIN
WILSHIRE	  ROSUVASTATIN	   QAZZO              		5954771	0.13	-55.59	25192	0.35	-61.65	13408144	0.33	-21.61	65693	0.75	2.93	  ROSUVASTATIN
ASPIN PHARMA PVT.	  ROSUVASTATIN	   XOVAT              		5005203	0.11	-68.18	22755	0.32	-67.99	15727832	0.38	-43.15	71093	0.81	-46.22	  ROSUVASTATIN
MASS-PHARMA HEALTH	  ROSUVASTATIN	   VESONOR            		3937561	0.09	-10.73	20141	0.28	-11.97	4410778	0.11	33.31	22880	0.26	33.43	  ROSUVASTATIN
SOIN PHARMA.	  ROSUVASTATIN	   NEOSTAT            		3557131	0.08	12.6	12605	0.17	2.94	3158958	0.08	35.33	12245	0.14	8.8	  ROSUVASTATIN
SCOTMANN PHARMA	  ROSUVASTATIN	   COUGAR             		2566348	0.06	-56.17	3897	0.05	-62.43	5855712	0.14	-27.65	10373	0.12	-29.47	  ROSUVASTATIN
NEUTRO PHARMA	  ROSUVASTATIN	   ROT                		1007955	0.02	549.94	4822	0.07	581.07	155084	0	-12.41	708	0.01	0.85	  ROSUVASTATIN
PLATINUM PHARMA	  ROSUVASTATIN	   ROSTAT             		682856	0.02	-35.43	4462	0.06	-38.7	1057612	0.03	83.04	7279	0.08	104.29	  ROSUVASTATIN
SHROOQ PHARMA	  ROSUVASTATIN	   ROVIP              		418626	0.01	40.01	1970	0.03	40.01	298988	0.01	999	1407	0.02	999	  ROSUVASTATIN
SANTE PHAR	  ROSUVASTATIN	   ROSAN              		0	0	-100	0	0	-100	2796092	0.07	225.79	9177	0.1	165.23	  ROSUVASTATIN
GENETICS PHARMA	  ROSUVASTATIN	   ROSUGEN            		16840161	100	4.3	60669	100	-6.08	16146602	100	3.21	64596	100	-12.85	  ROSUVASTATIN
NABIQASIM	  CLOTRIMAZOLE	   GYNOSPORIN         		175039931	56.42	17.57	1295980	53.37	6.61	148885637	60.81	5.63	1215589	59.14	-2.59	  CLOTRIMAZOLE
BAYER CONS. CARE	  CLOTRIMAZOLE	   CANESTEN           		113186591	36.48	41.64	938140	38.63	40.22	79913989	32.64	8.73	669048	32.55	-8.08	  CLOTRIMAZOLE
GLITZ PHARMA	  CLOTRIMAZOLE	   WORMCLO            		9598281	3.09	51.48	66072	2.72	47.9	6336544	2.59	31.75	44673	2.17	27.2	  CLOTRIMAZOLE
SHAIGAN PHARMA	  CLOTRIMAZOLE	   CLOZOX             		4405323	1.42	70.79	35084	1.44	35.46	2579344	1.05	30.91	25900	1.26	16	  CLOTRIMAZOLE
FYNK PHARMA	  CLOTRIMAZOLE	   ORIMAZOLE-V        		2919166	0.94	29.4	31221	1.29	-17.76	2255999	0.92	132.62	37965	1.85	116.29	  CLOTRIMAZOLE
BLOOM PHARMA	  CLOTRIMAZOLE	   VAGINEX-1          		2698055	0.87	999	24250	1	999	0	0	0	0	0	0	  CLOTRIMAZOLE
DAVIS PHARMA	  CLOTRIMAZOLE	   DAVIZOLE-V         		2139970	0.69	14.65	33024	1.36	5.27	1866519	0.76	2.39	31370	1.53	2.39	  CLOTRIMAZOLE
Z-JANS PHARMA	  CLOTRIMAZOLE	   VAGITRIM           		232356	0.07	987.35	4556	0.19	987.35	21369	0.01	-82.07	419	0.02	-82.07	  CLOTRIMAZOLE
PLATINUM PHARMA	  CLOTRIMAZOLE	   OLIGYN             		6390	0	-99.78	64	0	-99.79	2907215	1.19	-14.2	29870	1.45	-14.26	  CLOTRIMAZOLE
VALOR PHARMA	  CLOTRIMAZOLE	   VAGIZOLE           		2193	0	999	86	0	999	0	0	0	0	0	0	  CLOTRIMAZOLE
BRYON	  CLOTRIMAZOLE	   GYNOSAFE           		0	0	-100	0	0	-100	56287	0.02	26.74	602	0.03	26.74	  CLOTRIMAZOLE
BAYER CONS. CARE	  CLOTRIMAZOLE	   CANESTEN           		197164864	65.43	16.41	1377093	50.15	15.24	169373607	63.61	11.82	1195015	45.12	-5.93	  CLOTRIMAZOLE
NABIQASIM	  CLOTRIMAZOLE	   DERMOSPORIN        		65101707	21.6	16.14	538583	19.61	6.26	56052627	21.05	-2.15	506832	19.14	-10.03	  CLOTRIMAZOLE
ZAFA	  CLOTRIMAZOLE	   CLOTRIM            		28630540	9.5	-16.16	686556	25	-16.5	34150412	12.82	50.44	822269	31.04	33.01	  CLOTRIMAZOLE
PEARL PHARMA	  CLOTRIMAZOLE	   CLOZOLE            		7024740	2.33	255.58	64416	2.35	33.97	1975549	0.74	-16.2	48084	1.82	-28.92	  CLOTRIMAZOLE
SHAIGAN PHARMA	  CLOTRIMAZOLE	   CLOZOX             		2270340	0.75	95.95	52615	1.92	95.95	1158621	0.44	999	26851	1.01	999	  CLOTRIMAZOLE
GEOFMAN PHARMA	  CLOTRIMAZOLE	   DERMOTRIM          		1083774	0.36	15.28	26021	0.95	15.29	940083	0.35	24.63	22571	0.85	24.63	  CLOTRIMAZOLE
STIEFEL	  CLOTRIMAZOLE	   STIEMAZOL          		81600	0.03	-96.91	833	0.03	-96.92	2636587	0.99	-49.64	27025	1.02	-57.8	  CLOTRIMAZOLE
BAYER CONS. CARE	  CLOTRIMAZOLE	   CANESTEN           		160021523	69.89	13.71	1145114	64.54	16.06	140722188	69.58	2.14	986677	61.73	-13.46	  CLOTRIMAZOLE
NABIQASIM	  CLOTRIMAZOLE	   GYNOSPORIN         		45010287	19.66	8.95	370596	20.89	4.72	41312185	20.43	24.3	353888	22.14	7.71	  CLOTRIMAZOLE
BARRETT HODGSON	  CLOTRIMAZOLE	   BARRESTEN          		9762054	4.26	24.62	99253	5.59	7.07	7833412	3.87	18.82	92698	5.8	2.29	  CLOTRIMAZOLE
GLITZ PHARMA	  CLOTRIMAZOLE	   WORMCLO            		4824383	2.11	1.94	49202	2.77	-8.52	4732403	2.34	84.4	53786	3.37	73.47	  CLOTRIMAZOLE
SHAIGAN PHARMA	  CLOTRIMAZOLE	   CLOZOX             		2163999	0.95	123.84	19323	1.09	97.58	966765	0.48	37.15	9780	0.61	20.89	  CLOTRIMAZOLE
FYNK PHARMA	  CLOTRIMAZOLE	   ORIMAZOLE          		1663836	0.73	61.8	17795	1	12.2	1028299	0.51	311.58	15860	0.99	277.71	  CLOTRIMAZOLE
P.D.H.	  CLOTRIMAZOLE	   FLORACLEAN         		1465749	0.64	999	12546	0.71	999	0	0	0	0	0	0	  CLOTRIMAZOLE
DAVIS PHARMA	  CLOTRIMAZOLE	   DAVIZOLE-V         		1202758	0.53	-15.42	22060	1.24	-15.61	1422071	0.7	-5.63	26141	1.64	-5.63	  CLOTRIMAZOLE
PLATINUM PHARMA	  CLOTRIMAZOLE	   OLIGYN             		742141	0.32	-65.58	10430	0.59	-65.8	2155838	1.07	1.06	30496	1.91	1.08	  CLOTRIMAZOLE
SAYDON PHAR.	  CLOTRIMAZOLE	   GYNAZOL            		577384	0.25	274.02	9160	0.52	285.04	154372	0.08	-69.62	2379	0.15	-69.56	  CLOTRIMAZOLE
BLOOM PHARMA	  CLOTRIMAZOLE	   MACROLEX           		429138	0.19	999	4923	0.28	999	0	0	0	0	0	0	  CLOTRIMAZOLE
BRISTOL MAYER BIOT	  CLOTRIMAZOLE	   MIONESTEN          		413443	0.18	7.72	5120	0.29	7.72	383806	0.19	-48.25	4753	0.3	-48.25	  CLOTRIMAZOLE
PHARMIX LAB	  CLOTRIMAZOLE	   MIZOLE             		262490	0.11	-76.93	3498	0.2	-76.93	1137605	0.56	258.73	15160	0.95	258.73	  CLOTRIMAZOLE
AXIS PHARMACEUTICA	  CLOTRIMAZOLE	   FEMECARE           		232914	0.1	999	2555	0.14	999	0	0	0	0	0	0	  CLOTRIMAZOLE
BRYON	  CLOTRIMAZOLE	   GYNOSAFE           		132676	0.06	45.5	1864	0.11	56.38	91189	0.05	-9.28	1192	0.07	-9.28	  CLOTRIMAZOLE
ISLAM PHARMA	  CLOTRIMAZOLE	   CLOLAM             		35544	0.02	100	508	0.03	100	17772	0.01	999	254	0.02	999	  CLOTRIMAZOLE
PEARL PHARMA	  CLOTRIMAZOLE	   CLOZOLE            		8130	0	-94.2	271	0.02	-92	140262	0.07	999	3388	0.21	999	  CLOTRIMAZOLE
CARAWAY PHARMA	  CLOTRIMAZOLE	   CARA-CLOT          		5774	0	-94.7	69	0	-94.7	108925	0.05	-64.81	1302	0.08	-64.81	  CLOTRIMAZOLE
GEOFMAN PHARMA	  CLOTRIMAZOLE	   DERMOTRIM          		272	0	-97.33	4	0	-97.33	10200	0.01	114.29	150	0.01	114.29	  CLOTRIMAZOLE
GREATER PHARMA	  CLOTRIMAZOLE	   FUNGI DERM         		0	0	-100	0	0	-100	40627	0.02	89.47	468	0.03	89.47	  CLOTRIMAZOLE
NABIQASIM	  CLOTRIMAZOLE	   DERMOSPORIN        		75130112	74.19	6.4	1212775	66.21	5.39	70609009	73.74	-6.79	1150724	65.9	-11.87	  CLOTRIMAZOLE
ZAFA	  CLOTRIMAZOLE	   CLOTRIM            		26136419	25.81	3.97	619053	33.79	3.97	25139095	26.26	8.72	595431	34.1	8.72	  CLOTRIMAZOLE
CRYSTOLITE PHARMA	  CLOTRIMAZOLE	   CANIX              		19609228	70.17	119.84	288371	68.4	119.84	8919764	49.41	107.63	131173	52.44	107.63	  CLOTRIMAZOLE
PEARL PHARMA	  CLOTRIMAZOLE	   CLOZOLE            		5434346	19.45	11.11	81966	19.44	11.11	4890885	27.09	57.61	73769	29.49	57.61	  CLOTRIMAZOLE
VALOR PHARMA	  CLOTRIMAZOLE	   CREMAZOLE          		2889981	10.34	118.92	51215	12.15	77.61	1320113	7.31	-14.86	28835	11.53	-6.96	  CLOTRIMAZOLE
STIEFEL	  CLOTRIMAZOLE	   STIEMAZOL          		12537	0.04	-99.57	69	0.02	-99.58	2920814	16.18	-60.7	16383	6.55	-68.81	  CLOTRIMAZOLE
NABIQASIM	  CLINDAMYCIN	   VAGIBACT           		185827873	62.37	29.73	312446	58.79	10.23	143244532	59.22	14.66	283448	58	-6.71	  CLINDAMYCIN
SHAIGAN PHARMA	  CLINDAMYCIN	   CLYCIN-V           		96866214	32.51	13.74	168830	31.77	3.57	85163826	35.21	31.56	163008	33.35	10.4	  CLINDAMYCIN
DANAS PHARMA	  CLINDAMYCIN	   KLENCIN            		3927854	1.32	-13.32	18484	3.48	-13.32	4531564	1.87	207.81	21325	4.36	207.81	  CLINDAMYCIN
FYNK PHARMA	  CLINDAMYCIN	   CEDA-V             		3653192	1.23	168.75	9384	1.77	93.64	1359303	0.56	-0.27	4846	0.99	-0.27	  CLINDAMYCIN
FOCUS & RULZ PHARM	  CLINDAMYCIN	   CLINDA-V           		3013981	1.01	999	10429	1.96	999	52887	0.02	19.61	183	0.04	19.61	  CLINDAMYCIN
CELL LABORATORIES	  CLINDAMYCIN	   CALIDIN V          		2384614	0.8	999	5679	1.07	999	0	0	0	0	0	0	  CLINDAMYCIN
PFIZER PAKISTAN	  CLINDAMYCIN	   DALACIN V          		1188903	0.4	-79.71	1850	0.35	-80.61	5859025	2.42	999	9542	1.95	999	  CLINDAMYCIN
EXCEL HEALTH CARE	  CLINDAMYCIN	   VECLIN             		491072	0.16	-9.32	2013	0.38	-9.32	541570	0.22	-7.54	2220	0.45	-7.54	  CLINDAMYCIN
UNIMARK PHARMA	  CLINDAMYCIN	   CLINXER-V          		233538	0.08	999	1099	0.21	999	0	0	0	0	0	0	  CLINDAMYCIN
MEDISURE LABS	  CLINDAMYCIN	   CALINAX            		231508	0.08	999	949	0.18	999	7807	0	-98.3	32	0.01	-98.31	  CLINDAMYCIN
BIO-LABS	  CLINDAMYCIN	   C-MYCIN            		80429	0.03	-65.36	166	0.03	-66.46	232189	0.1	-91.67	495	0.1	-94.21	  CLINDAMYCIN
SHROOQ PHARMA	  CLINDAMYCIN	   CLINZEN            		21318	0.01	-75	88	0.02	-75	85272	0.04	999	352	0.07	999	  CLINDAMYCIN
CARAWAY PHARMA	  CLINDAMYCIN	   CLINDEX            		2251	0	-94.83	6	0	-94.83	43517	0.02	-91.7	116	0.02	-91.7	  CLINDAMYCIN
VALOR PHARMA	  CLINDAMYCIN	   GYNACIN            		0	0	-100	0	0	-100	780609	0.32	999	3161	0.65	999	  CLINDAMYCIN
SHAIGAN PHARMA	  CLINDAMYCIN	   CLYCIN-T           		102943347	41.01	18.64	557294	38.28	6.36	86772558	41.31	44.64	523950	42.46	23.51	  CLINDAMYCIN
ATCO	  CLINDAMYCIN	   ACSOLVE            		80985315	32.26	17.49	438422	30.12	16.22	68932124	32.82	41.41	377242	30.57	15.59	  CLINDAMYCIN
MAXITECH PH	  CLINDAMYCIN	   CLIN-MAX           		29468660	11.74	144.82	270777	18.6	144.82	12037034	5.73	-9.68	110604	8.96	-9.68	  CLINDAMYCIN
PFIZER PAKISTAN	  CLINDAMYCIN	   DALACIN T          		18846571	7.51	-25.96	73453	5.05	-26.45	25455529	12.12	-32.85	99870	8.09	-41.98	  CLINDAMYCIN
MARTIN DOW LIMITED	  CLINDAMYCIN	   CLINACIN           		11222244	4.47	33.53	55011	3.78	19.45	8404260	4	66.28	46053	3.73	35.58	  CLINDAMYCIN
PEARL PHARMA	  CLINDAMYCIN	   CLINDAMAX          		4973748	1.98	-35.91	45702	3.14	-35.91	7760124	3.69	179.84	71305	5.78	179.84	  CLINDAMYCIN
BLOOM PHARMA	  CLINDAMYCIN	   AUSTACLIN-T        		1196658	0.48	999	5190	0.36	999	0	0	0	0	0	0	  CLINDAMYCIN
VALOR PHARMA	  CLINDAMYCIN	   CLINDA DERM        		1011204	0.4	100.68	7931	0.54	100.68	503882	0.24	-31.22	3952	0.32	-31.22	  CLINDAMYCIN
PHARMASOL PVT.LTD	  CLINDAMYCIN	   CLINDASOL          		355032	0.14	228.55	1922	0.13	228.55	108060	0.05	999	585	0.05	999	  CLINDAMYCIN
EPLA	  CLINDAMYCIN	   ACNESAFE           		16093	0.01	-80.81	98	0.01	-78.83	83876	0.04	-1.52	463	0.04	-30.69	  CLINDAMYCIN
STIEFEL	  CLINDAMYCIN	   CLINAGEL           		71639001	37.03	34.25	325366	30.68	3.65	53362360	32.64	-6.75	313897	31.84	-21.88	  CLINDAMYCIN
ATCO	  CLINDAMYCIN	   ACSOLVE            		67469136	34.88	0.05	377936	35.64	-1.1	67434381	41.25	34.76	382136	38.77	9.98	  CLINDAMYCIN
MARTIN DOW LIMITED	  CLINDAMYCIN	   CLINACIN           		23873842	12.34	-4.19	126122	11.89	-10.86	24917372	15.24	18.88	141493	14.35	8.41	  CLINDAMYCIN
SHAIGAN PHARMA	  CLINDAMYCIN	   CLYCIN-T           		13712792	7.09	246	82652	7.79	246	3963258	2.42	999	23888	2.42	999	  CLINDAMYCIN
PEARL PHARMA	  CLINDAMYCIN	   CLINDAMAX          		6289830	3.25	4.08	73998	6.98	4.08	6043160	3.7	-14.54	71096	7.21	-14.54	  CLINDAMYCIN
SANTE PHAR	  CLINDAMYCIN	   CLINDACIN          		5287066	2.73	-7.34	25482	2.4	-12.71	5705891	3.49	9.59	29193	2.96	-10.58	  CLINDAMYCIN
LIFE PHARMA. CO.	  CLINDAMYCIN	   CLINDATOS          		2166556	1.12	999	13621	1.28	999	0	0	0	0	0	0	  CLINDAMYCIN
VALOR PHARMA	  CLINDAMYCIN	   CLINDA DERM        		1965200	1.02	55.3	23120	2.18	55.3	1265395	0.77	31.42	14887	1.51	31.42	  CLINDAMYCIN
HOOVER PHARMACEUTI	  CLINDAMYCIN	   DAYMAC             		996710	0.52	36.24	11726	1.11	36.24	731595	0.45	-7.27	8607	0.87	-7.27	  CLINDAMYCIN
CARAWAY PHARMA	  CLINDAMYCIN	   CYINE              		44315	0.02	-37.91	339	0.03	-37.91	71373	0.04	999	546	0.06	999	  CLINDAMYCIN
PFIZER PAKISTAN	  CLINDAMYCIN	   DALACIN C          		164534638	99.94	-49.02	321640	99.81	-50.15	322722120	99.94	25.99	645204	99.83	11.45	  CLINDAMYCIN
KAIZEN PHARMA PVT	  CLINDAMYCIN	   UNICLIN            		93267	0.06	-36.98	627	0.19	-36.98	148006	0.05	-74.43	995	0.15	-74.43	  CLINDAMYCIN
ICON PHARMA	  CLINDAMYCIN	   CLINDAMYCIN        		0	0	-100	0	0	-100	33124	0.01	999	121	0.02	999	  CLINDAMYCIN
PFIZER PAKISTAN	  CLINDAMYCIN	   DALACIN C          		33886227	100	56.21	114592	100	49.47	21692118	100	-32.24	76668	100	-41.25	  CLINDAMYCIN
PACIFIC	  CLOMIFENE	   CLOMID             		376645635	52.42	29.59	710602	44.03	14.98	290649970	45.09	5.76	618036	38.51	5.76	  CLOMIFENE
NABIQASIM	  CLOMIFENE	   CLOMITAB           		67136660	9.34	0.66	140757	8.72	-8.08	66693152	10.35	10.39	153126	9.54	-2.06	  CLOMIFENE
MARTIN DOW MARKER	  CLOMIFENE	   OVI-F              		64617759	8.99	-8.13	192222	11.91	-14.48	70334962	10.91	9.36	224780	14	-3.51	  CLOMIFENE
HILTON	  CLOMIFENE	   CEROPHENE          		56118020	7.81	-2.96	47158	2.92	-9.19	57830983	8.97	14.87	51928	3.24	-1.88	  CLOMIFENE
STANLEY PHARMA	  CLOMIFENE	   HEX                		28750876	4	6.72	153748	9.53	6.72	26940342	4.18	6.55	144066	8.98	3.07	  CLOMIFENE
SAMI	  CLOMIFENE	   SAMCLOM            		25363271	3.53	16.56	88303	5.47	16.56	21759971	3.38	999	75758	4.72	999	  CLOMIFENE
ASPIN PHARMA PVT.	  CLOMIFENE	   OVAFIN             		22585777	3.14	-14.27	64588	4	-19.17	26346539	4.09	-11.46	79905	4.98	-17.78	  CLOMIFENE
PHARMEDIC	  CLOMIFENE	   CLOMINOL           		17000429	2.37	1.64	48428	3	-13.87	16726643	2.59	32.98	56224	3.5	-10.25	  CLOMIFENE
SAFFRON PHARMA	  CLOMIFENE	   NAMET              		16882908	2.35	9.66	52512	3.25	3.71	15395039	2.39	28.2	50634	3.15	9.1	  CLOMIFENE
HORIZON HEALTHCARE	  CLOMIFENE	   PHENOMI            		10717344	1.49	3.95	13134	0.81	2.6	10310211	1.6	47.74	12801	0.8	21.61	  CLOMIFENE
SHAIGAN PHARMA	  CLOMIFENE	   FERTAB             		9586646	1.33	-5.23	28923	1.79	-14.49	10115631	1.57	20.83	33826	2.11	8.99	  CLOMIFENE
HOWARDS	  CLOMIFENE	   CLOFER             		6920341	0.96	4.29	13076	0.81	4.29	6635611	1.03	-1.17	12538	0.78	-1.17	  CLOMIFENE
PLATINUM PHARMA	  CLOMIFENE	   FERTICLO           		4146067	0.58	2.5	16257	1.01	-5.2	4045105	0.63	8.37	17149	1.07	8.37	  CLOMIFENE
WIMITS PHARMA	  CLOMIFENE	   SYAFEN             		4106985	0.57	33.27	12723	0.79	7.83	3081676	0.48	25.49	11799	0.74	-11.78	  CLOMIFENE
OPAL	  CLOMIFENE	   FLORID             		3831760	0.53	20.09	12830	0.79	12.69	3190776	0.49	38.45	11385	0.71	19.89	  CLOMIFENE
ZAFA	  CLOMIFENE	   GYNOFEN            		1207408	0.17	-62.93	4439	0.28	-62.93	3257472	0.51	39.97	11976	0.75	37.2	  CLOMIFENE
MEDICRAFT	  CLOMIFENE	   HOPE               		739500	0.1	13.64	4350	0.27	13.64	650760	0.1	-54.73	3828	0.24	-54.73	  CLOMIFENE
GLOBAL	  CLOMIFENE	   FEMEG              		639999	0.09	999	1068	0.07	999	0	0	-100	0	0	-100	  CLOMIFENE
FYNK PHARMA	  CLOMIFENE	   HICLOFEN-C         		551616	0.08	999	4056	0.25	999	0	0	0	0	0	0	  CLOMIFENE
SAYDON PHAR.	  CLOMIFENE	   CLOMEDON           		450342	0.06	576.33	2286	0.14	576.33	66586	0.01	-83.58	338	0.02	-83.58	  CLOMIFENE
CHIESI FARMACEUTIC	  CLOMIFENE	   PROLIFEN           		223697175	99.61	3.37	398974	99.35	-4.64	216397515	99.83	8.09	418402	99.69	5.71	  CLOMIFENE
LIBRA	  CLOMIFENE	   BEMOT              		873957	0.39	137.54	2603	0.65	101.31	367921	0.17	-63.04	1293	0.31	-28.68	  CLOMIFENE
EFROZE	  METHYLESTRADIOL+METHYLESTRENOLONE	   GYNAECOSID         		131959523	98.59	129.28	1609147	99.22	8.79	57553997	100	-6.97	1479157	100	-6.97	  METHYLESTRADIOL+METHYLESTRENOLONE
SHAIGAN PHARMA	  METHYLESTRADIOL+METHYLESTRENOLONE	   GYNOMIN            		1887043	1.41	999	12686	0.78	999	0	0	0	0	0	0	  METHYLESTRADIOL+METHYLESTRENOLONE
ZAFA	  METHYLESTRADIOL+METHYLESTRENOLONE	   MENTONA            		1168147	100	83.3	23908	100	83.3	637280	100	999	13043	100	999	  METHYLESTRADIOL+METHYLESTRENOLONE
HIGH-Q INTL	  IRON FERROUS	   HIFER              		250980148	20.85	-12.65	110721	13.52	-12.65	287332500	24.28	25.59	126758	15.47	-12.2	  IRON FERROUS
VISION PHARMA	  IRON FERROUS	   VISOFER            		189422820	15.74	17.52	151085	18.45	17.52	161182102	13.62	59.49	128560	15.69	59.49	  IRON FERROUS
BARRETT HODGSON	  IRON FERROUS	   IVEFER             		140540915	11.68	5.43	76996	9.4	-8.4	133307285	11.26	4.66	84055	10.26	-9.3	  IRON FERROUS
BOSCH	  IRON FERROUS	   MEROFER            		92508815	7.69	18.21	57281	7	9.21	78260112	6.61	9.7	52452	6.4	2.08	  IRON FERROUS
SHAIGAN PHARMA	  IRON FERROUS	   IROSE              		91924060	7.64	11.67	65543	8	5.77	82320504	6.96	-0.99	61965	7.56	-4.04	  IRON FERROUS
NABIQASIM	  IRON FERROUS	   MEGAFER            		85335591	7.09	-22.36	62786	7.67	-22.36	109913101	9.29	-13.96	80869	9.87	-15.55	  IRON FERROUS
GLOBAL	  IRON FERROUS	   G-FER              		79446780	6.6	19.11	77889	9.51	19.11	66702900	5.64	20.37	65395	7.98	20.37	  IRON FERROUS
BOSCH	  IRON FERROUS	   CLEFER             		62627352	5.2	33.45	40617	4.96	24.88	46927853	3.97	-4.09	32524	3.97	-10.88	  IRON FERROUS
GLOBAL	  IRON FERROUS	   IRO-SUR            		41540775	3.45	37.29	32581	3.98	37.29	30257025	2.56	476.13	23731	2.9	476.13	  IRON FERROUS
HELIX PHARMA PVT L	  IRON FERROUS	   IRONAL-S           		28611170	2.38	-20.97	24043	2.94	-22.6	36202010	3.06	9.8	31063	3.79	-11.91	  IRON FERROUS
WIMITS PHARMA	  IRON FERROUS	   EPICARE            		25124201	2.09	-0.39	24428	2.98	-9.33	25222273	2.13	61.25	26942	3.29	46.41	  IRON FERROUS
SAFFRON PHARMA	  IRON FERROUS	   NORMIRON           		19312311	1.6	39.1	16287	1.99	39.1	13883948	1.17	64.36	11709	1.43	64.36	  IRON FERROUS
CARAWAY PHARMA	  IRON FERROUS	   CARA-FER           		13592357	1.13	43.88	10032	1.23	23.02	9446684	0.8	202.15	8155	1	-15.23	  IRON FERROUS
GETZ PHARMA	  IRON FERROUS	   FEROTEIN-S         		13478237	1.12	-41.71	6970	0.85	-52.59	23122446	1.95	-21.56	14703	1.79	-29.24	  IRON FERROUS
FYNK PHARMA	  IRON FERROUS	   FERSOX             		13308070	1.11	26.92	10101	1.23	-15.56	10485048	0.89	130.14	11963	1.46	123.19	  IRON FERROUS
SWISS PHARMA	  IRON FERROUS	   ROPLEX-S           		13161597	1.09	999	9535	1.16	999	345950	0.03	999	296	0.04	999	  IRON FERROUS
HILTON	  IRON FERROUS	   FEROSOFT-S         		11536965	0.96	-22.4	6855	0.84	-23.49	14866782	1.26	16.72	8960	1.09	-9.01	  IRON FERROUS
STANDPHARM	  IRON FERROUS	   HADID              		8522145	0.71	18.46	6496	0.79	13.21	7194020	0.61	25.37	5738	0.7	25.37	  IRON FERROUS
KAIR PHARMA	  IRON FERROUS	   IPASE              		4983941	0.41	-22.41	2844	0.35	-24.82	6423559	0.54	16.44	3783	0.46	-16.51	  IRON FERROUS
PHARMASOL PVT.LTD	  IRON FERROUS	   FEROJECT           		4227900	0.35	211.07	3316	0.4	211.07	1359150	0.11	122.08	1066	0.13	122.08	  IRON FERROUS
HILTON	  IRON FERROUS	   FEROSOFT           		85881570	32.37	16.77	274575	19.2	11.21	73548816	29.76	28.62	246908	17.28	14.35	  IRON FERROUS
RG PHARMA PVT LTD	  IRON FERROUS	   IRONONE            		55301361	20.84	10.92	284355	19.88	3.58	49856953	20.17	39.29	274526	19.21	20.97	  IRON FERROUS
TABROS PHARMA	  IRON FERROUS	   FERRY              		35087890	13.22	11.11	194901	13.63	4.45	31580109	12.78	7.35	186600	13.06	-2.64	  IRON FERROUS
HELIX PHARMA PVT L	  IRON FERROUS	   IRONAL             		21489271	8.1	6.22	109238	7.64	0.57	20230616	8.18	51.69	108617	7.6	17.8	  IRON FERROUS
INDUS	  IRON FERROUS	   INDOFER            		18265697	6.88	-10.25	160085	11.19	-10.25	20350763	8.23	-4.75	178359	12.48	-7.61	  IRON FERROUS
SAFFRON PHARMA	  IRON FERROUS	   ACEFER             		11572303	4.36	-6.18	63158	4.42	-10.62	12334357	4.99	47.92	70660	4.94	20	  IRON FERROUS
VISION PHARMA	  IRON FERROUS	   FEROMALT           		8376843	3.16	-31.08	103710	7.25	-25.42	12154509	4.92	42.97	139066	9.73	42.04	  IRON FERROUS
SHAIGAN PHARMA	  IRON FERROUS	   IROTON             		8015716	3.02	16.24	69042	4.83	5.73	6895977	2.79	485.97	65299	4.57	440.64	  IRON FERROUS
GLITZ PHARMA	  IRON FERROUS	   FEROLITZ           		6118640	2.31	86.26	44990	3.15	86.26	3285080	1.33	999	24155	1.69	999	  IRON FERROUS
DAVIS PHARMA	  IRON FERROUS	   MALTOVIS           		2529184	0.95	-24.5	18201	1.27	-30.96	3350083	1.36	28.65	26362	1.84	28.65	  IRON FERROUS
GLITZ PHARMA	  IRON FERROUS	   GLITCURE           		2264021	0.85	-36.24	12224	0.85	-29.28	3551107	1.44	32.88	17286	1.21	41.92	  IRON FERROUS
GLITZ PHARMA	  IRON FERROUS	   GLOFT              		1836946	0.69	-13.21	11289	0.79	-13.21	2116498	0.86	13.09	13007	0.91	7.43	  IRON FERROUS
